place_id,text,captions,labels,easting,northing
mc01116,Mill Leat,"[""Mill Leat""]",1,286390.8,144245.3
mc01117,old mill leat,"[""old mill leat""]",1,286420.3,66067.1
mc01118,Mill Pond,"[""Mill Pond""]",1,286544.3,108236.8
mc01119,Mill Race,"[""Mill Race""]",1,286912.2,377869.5
mc01120,Mill Leat,"[""Mill Leat""]",1,286958.0,79109.0
mc01121,Mill Leat,"[""Mill Leat""]",1,286973.7,74724.4
mc01122,Mill Leat,"[""Mill Leat""]",1,286981.3,103322.1
mc01123,ford leat,"[""ford leat""]",1,286982.7,70054.1
mc01124,Mill Leat,"[""Mill Leat""]",1,287025.3,98483.9
mc01125,Mill Leat,"[""Mill Leat""]",1,287086.0,100339.7
mc01126,Mill Leat,"[""Mill Leat""]",1,287233.4,73364.5
mc01127,Mill Race,"[""Mill Race""]",1,287416.7,351550.3
mc01128,Mill Lead,"[""Mill Lead""]",1,287481.5,366625.1
mc01129,Mill Pond,"[""Mill Pond""]",1,287495.9,366384.3
mc01130,mill leat,"[""mill leat""]",1,287516.4,68039.0
mc01131,Mill Pond,"[""Mill Pond""]",1,287605.1,104583.6
mc01132,Mill Leat,"[""Mill Leat""]",1,287673.7,104432.1
mc01133,mill pond,"[""mill pond""]",1,287745.9,68916.1
mc01134,Mill Leat,"[""Mill Leat""]",1,287909.4,114494.6
mc01135,Mill Race,"[""Mill Race""]",1,287929.2,228961.5
mc01136,Old Mill Pond,"[""Old Mill Pond""]",1,287977.0,223683.2
mc01137,Mill Race,"[""Mill Race""]",1,288205.8,374325.4
mc01138,Mill Race,"[""Mill Race""]",2,288395.7,299349.6
mc01139,mill pond,"[""mill pond""]",1,288449.0,146606.3
mc01140,Mill Leat,"[""Mill Leat""]",1,288582.1,112818.2
mc01141,Old Mill Race,"[""Old Mill Race""]",1,288600.9,76602.9
mc01142,mill pond,"[""mill pond""]",1,288702.7,125930.4
mc01143,Mill Lead,"[""Mill Lead""]",1,288713.2,363396.1
mc01144,Mill Race,"[""Mill Race""]",5,288760.4,177365.9
mc01145,Mill Pond,"[""Mill Pond""]",1,288974.3,104062.6
mc01146,Mill Race,"[""Mill Race""]",1,289034.1,280802.0
mc01147,Mill Race,"[""Mill Race""]",1,289242.9,185760.0
mc01148,Mill Race,"[""Mill Race""]",1,289362.9,234660.9
mc01149,Mill Race,"[""Mill Race""]",1,289378.3,374613.5
mc01150,Mill Race,"[""Mill Race""]",1,289403.0,252494.7
mc01151,Mill Pond,"[""Mill Pond""]",1,289504.4,234579.2
mc01152,Mill Race,"[""Mill Race""]",1,289584.4,184491.0
mc01153,Mill Leat,"[""Mill Leat""]",1,289634.7,144680.2
mc01154,Mill Leat,"[""Mill Leat""]",1,289671.7,97409.7
mc01155,Mill Leat,"[""Mill Leat""]",2,289714.4,112325.2
mc01156,Mill Race,"[""Mill Race""]",4,289731.1,302894.3
mc01157,Mill Pond,"[""Mill Pond""]",1,289883.5,90478.3
mc01158,Mill Leat,"[""Mill Leat""]",1,289904.4,119967.4
mc01159,Mill Race,"[""Mill Race""]",1,289969.9,182676.0
mc01160,Mill Race,"[""Mill Race""]",2,290084.1,181042.6
mc01161,Mill Race,"[""Mill Race""]",1,290110.2,304923.1
mc01162,Mill Leat,"[""Mill Leat""]",1,290154.7,147563.3
mc01163,Mill Race,"[""Mill Race""]",1,290175.9,367387.3
mc01164,Mill Race,"[""Mill Race""]",1,290323.0,284639.1
mc01165,Mill Leat,"[""Mill Leat""]",1,290586.1,146279.9
mc01166,Exwick Leat,"[""Exwick Leat""]",1,290692.2,94419.1
mc01167,Mill Race,"[""Mill Race""]",1,290698.9,350753.0
mc01168,Mill Leat,"[""Mill Leat""]",1,290751.6,134792.7
mc01169,Iron Mill Stream,"[""Iron Mill Stream""]",1,290755.7,120343.1
mc01170,Mill Race,"[""Mill Race""]",1,290803.7,339793.6
mc01171,Mill Race,"[""Mill Race""]",1,290809.1,377808.3
mc01172,Old Mill Race,"[""Old Mill Race""]",1,290879.4,187154.3
mc01173,Mill Race,"[""Mill Race""]",1,290895.2,279793.2
mc01174,Mill Race,"[""Mill Race""]",1,290982.7,376382.3
mc01175,Mill Race,"[""Mill Race""]",1,290982.8,90421.2
mc01176,Mill Race,"[""Mill Race""]",1,291110.9,233151.2
mc01177,Old Mill Race,"[""Old Mill Race""]",1,291165.0,287212.3
mc01178,Mill leat,"[""Mill leat""]",1,291276.4,95955.8
mc01179,Old Mill Leat,"[""Old Mill Leat""]",1,291345.8,110996.8
mc01180,Mill leat,"[""Mill leat""]",1,291409.5,110937.9
mc01181,Mill Race,"[""Mill Race""]",1,291676.8,351226.2
mc01182,Mill Lead,"[""Mill Lead""]",5,291746.6,208270.6
mc01183,Mill Race,"[""Mill Race""]",1,291824.5,230432.3
mc01184,Mill Race,"[""Mill Race""]",2,291825.3,185539.8
mc01185,Mill Leat,"[""Mill Leat""]",1,292172.0,122958.3
mc01186,Mill Leat,"[""Mill Leat""]",1,292275.5,133391.0
mc01187,Mill Race,"[""Mill Race""]",1,292382.4,336880.8
mc01188,Mill Leat,"[""Mill Leat""]",2,292433.1,114593.6
mc01189,Old Mill Race,"[""Old Mill Race""]",1,292501.4,284882.7
mc01190,Mill Race,"[""Mill Race""]",1,292590.7,223395.0
mc01191,Mill Race,"[""Mill Race""]",2,292747.2,227490.6
mc01192,Iron Mill Stream,"[""Iron Mill Stream""]",1,292997.6,120707.3
mc01193,Mill Tail,"[""Mill Tail""]",1,292998.9,124591.8
mc01194,Mill Race,"[""Mill Race""]",1,293075.2,291152.5
mc01195,Mill Race,"[""Mill Race""]",1,293088.6,370482.9
mc01196,Mill Leat,"[""Mill Leat""]",1,293154.1,125248.8
mc01197,old mill leat,"[""old mill leat""]",1,293186.7,101212.5
mc01198,Mill Pond,"[""Mill Pond""]",1,293190.7,370432.7
mc01199,Mill Race,"[""Mill Race""]",1,293193.3,90772.3
mc01200,Mill Race,"[""Mill Race""]",1,293201.4,187004.6
mc01201,Mill Race,"[""Mill Race""]",1,293248.5,285996.9
mc01202,Mill Race,"[""Mill Race""]",2,293403.5,284492.3
mc01203,Mill Race,"[""Mill Race""]",1,293454.0,178915.1
mc01204,old mill leat,"[""old mill leat""]",1,293603.5,102339.6
mc01205,mill leat,"[""mill leat""]",2,293788.3,97425.2
mc01206,Mill Leat,"[""Mill Leat""]",1,293868.9,107199.7
mc01207,Mill Race,"[""Mill Race""]",1,293976.4,173062.4
mc01208,Mill Race,"[""Mill Race""]",1,294118.7,250617.2
mc01209,Mill race,"[""Mill race""]",1,294214.1,78692.3
mc01210,Mill Pond,"[""Mill Pond""]",1,294367.7,362889.0
mc01211,Mill Race,"[""Mill Race""]",1,294370.2,362548.1
mc01212,Mill Leat,"[""Mill Leat""]",1,294462.7,115734.8
mc01213,Mill Pond,"[""Mill Pond""]",1,294626.4,77131.5
mc01214,Mill Race,"[""Mill Race""]",1,294776.5,76849.7
mc01215,Mill Leat,"[""Mill Leat""]",1,294821.2,113476.1
mc01216,Mill Leat,"[""Mill Leat""]",1,294822.2,105639.5
mc01217,Mill Race,"[""Mill Race""]",1,295011.4,179232.5
mc01218,LEAT STREET,"[""LEAT STREET""]",1,295036.8,112870.4
mc01219,Mill Lead,"[""Mill Lead""]",1,295052.4,207396.8
mc01220,Mill Pond,"[""Mill Pond""]",2,295080.6,337214.0
mc01221,Mill Leat,"[""Mill Leat""]",1,295084.4,119722.6
mc01222,Mill Race,"[""Mill Race""]",1,295214.9,282021.3
mc01223,Mill Race,"[""Mill Race""]",1,295265.1,337628.1
mc01224,Mill Race,"[""Mill Race""]",1,295325.5,370790.7
mc01225,Mill Race,"[""Mill Race""]",1,295361.8,297024.6
mc01226,Mill Race,"[""Mill Race""]",1,295400.3,305567.5
mc01227,Old Mill Race,"[""Old Mill Race""]",2,295471.1,180092.7
mc01228,Mill Leat,"[""Mill Leat""]",2,295514.3,142029.6
mc01229,Old Mill Leat,"[""Old Mill Leat""]",1,295547.6,131317.3
mc01230,Mill Stream,"[""Mill Stream""]",1,295647.2,84317.1
mc01231,Mill Pond,"[""Mill Pond""]",2,295684.6,296849.6
mc01232,Mill Race,"[""Mill Race""]",1,295713.9,367282.5
mc01233,Mill Race,"[""Mill Race""]",3,295965.3,290470.6
mc01234,Mill Pond,"[""Mill Pond""]",1,295978.8,144884.3
mc01235,Town Leat,"[""Town Leat""]",1,295991.8,113906.2
mc01236,Mill Pond,"[""Mill Pond""]",1,296057.7,348530.8
mc01237,mill race,"[""mill race""]",1,296181.4,513328.7
mc01238,Mill Race,"[""Mill Race""]",1,296190.2,344837.4
mc01239,Mill Race,"[""Mill Race""]",1,296199.6,232479.0
mc01240,Mill Leat,"[""Mill Leat""]",1,296282.6,100338.4
mc01241,Mill Leat; mill leat,"[""Mill Leat"", ""mill leat""]",2,296718.8,122767.0
mc01242,Mill Leat,"[""Mill Leat""]",2,296754.7,124824.9
mc01243,Mill Pond,"[""Mill Pond""]",1,296832.2,347044.8
mc01244,Mill Race,"[""Mill Race""]",1,296873.2,280152.0
mc01245,Mill Race,"[""Mill Race""]",2,296886.5,181535.6
mc01246,Mill Leat,"[""Mill Leat""]",1,297028.5,107744.8
mc01247,Town Leat,"[""Town Leat""]",1,297038.5,116799.6
mc01248,Mill Pond,"[""Mill Pond""]",1,297129.9,88287.8
mc01249,Mill Leat,"[""Mill Leat""]",2,297211.4,91238.4
mc01250,Mill Race,"[""Mill Race""]",2,297303.4,373060.4
mc01251,Mill Race,"[""Mill Race""]",1,297413.8,168087.9
mc01252,Mill Race,"[""Mill Race""]",1,297439.5,256343.0
mc01253,Mill Leat,"[""Mill Leat""]",1,297640.9,92428.0
mc01254,Mill Leat,"[""Mill Leat""]",1,297669.8,113484.5
mc01255,Town Leat,"[""Town Leat""]",1,297692.6,118499.4
mc01256,Mill Leat,"[""Mill Leat""]",1,297852.4,100966.3
mc01257,Mill Leat,"[""Mill Leat""]",1,297953.7,96756.2
mc01258,Mill Leat,"[""Mill Leat""]",1,298092.9,123736.1
mc01259,Mill Race,"[""Mill Race""]",1,298147.3,287959.5
mc01260,Mill Race,"[""Mill Race""]",1,298312.4,337308.7
mc01261,Mill Race,"[""Mill Race""]",1,298351.9,229764.1
mc01262,Mill Pond,"[""Mill Pond""]",1,298358.6,337138.9
mc01263,Mill Leat,"[""Mill Leat""]",1,298409.2,94260.0
mc01264,Mill Leat,"[""Mill Leat""]",2,298489.4,90479.2
mc01265,Mill Race,"[""Mill Race""]",1,298565.8,183566.6
mc01266,MILL STREAM,"[""MILL STREAM""]",1,298595.3,143280.4
mc01267,Mill Race,"[""Mill Race""]",1,298598.3,372486.8
mc01268,Mill Pond; Mill pond,"[""Mill Pond"", ""Mill pond""]",2,298649.2,116364.2
mc01269,Mill Pond,"[""Mill Pond""]",1,298716.2,86579.4
mc01270,Mill leat,"[""Mill leat""]",1,298733.4,114241.7
mc01271,Old Mill Race,"[""Old Mill Race""]",1,298754.6,295812.1
mc01272,Mill Race,"[""Mill Race""]",1,298948.6,257154.1
mc01273,Mill Race,"[""Mill Race""]",2,299217.5,312487.9
mc01274,Mill Race,"[""Mill Race""]",1,299251.4,349168.4
mc01275,Mill Race,"[""Mill Race""]",1,299388.0,362398.4
mc01276,Mill Pond,"[""Mill Pond""]",1,299399.4,83970.4
mc01277,Mill Race,"[""Mill Race""]",1,299518.8,173186.0
mc01278,Mill Pond,"[""Mill Pond""]",1,299676.1,262928.9
mc01279,Mill Pond,"[""Mill Pond""]",1,299733.5,86906.2
mc01280,Mill Race,"[""Mill Race""]",1,299823.6,234109.2
mc01281,Mill Race,"[""Mill Race""]",3,299932.6,522449.2
mc01282,Mill race,"[""Mill race""]",1,300071.3,368462.4
mc01283,Mill Pond,"[""Mill Pond""]",1,300185.5,183577.4
mc01284,Moorstone Leat,"[""Moorstone Leat""]",1,300231.4,109247.5
mc01285,Mill Race,"[""Mill Race""]",1,300294.1,172527.3
mc01286,Mill Pond,"[""Mill Pond""]",1,300342.6,368340.9
mc01287,mill race,"[""mill race""]",2,300571.9,516209.3
mc01288,mill race,"[""mill race""]",1,300669.0,103525.5
mc01289,Mill Pond,"[""Mill Pond""]",1,300669.2,81624.7
mc01290,Rull Leat,"[""Rull Leat""]",1,300738.1,108895.9
mc01291,Mill Race,"[""Mill Race""]",1,300777.4,294112.3
mc01292,Mill Pond,"[""Mill Pond""]",2,300810.2,126143.3
mc01293,Mill Race,"[""Mill Race""]",1,300973.0,239569.2
mc01294,Mill Race,"[""Mill Race""]",1,300974.1,510290.2
mc01295,Mill Pond,"[""Mill Pond""]",1,301019.6,239437.1
mc01296,Mill Stream,"[""Mill Stream""]",1,301040.4,137685.5
mc01297,Mill Race,"[""Mill Race""]",2,301185.5,523971.5
mc01298,Mill Race,"[""Mill Race""]",1,301187.9,171810.6
mc01299,Mill Race,"[""Mill Race""]",1,301206.4,371212.8
mc01300,Mill Race,"[""Mill Race""]",2,301294.9,529309.9
mc01301,Mill Race,"[""Mill Race""]",1,301429.8,363354.6
mc01302,Mill Race; Mill race,"[""Mill Race"", ""Mill race""]",4,301492.6,310401.4
mc01303,Mill Lade,"[""Mill Lade""]",1,301570.5,511337.1
mc01304,Mill Race,"[""Mill Race""]",1,301682.1,186276.4
mc01305,mill race,"[""mill race""]",1,301901.5,226871.9
mc01306,Mill Race,"[""Mill Race""]",1,301940.6,368240.6
mc01307,Mill Race; mill race,"[""Mill Race"", ""mill race""]",4,301945.6,513607.3
mc01308,Mill Race,"[""Mill Race""]",2,301968.4,344201.4
mc01309,Mill Race,"[""Mill Race""]",1,302020.6,315455.1
mc01310,Mill Race; mill race,"[""Mill Race"", ""mill race""]",4,302033.7,517617.4
mc01311,Mill Race,"[""Mill Race""]",1,302054.4,300759.8
mc01312,Mill Race,"[""Mill Race""]",2,302119.2,506906.6
mc01313,Old Mill Pond,"[""Old Mill Pond""]",1,302198.6,92032.3
mc01314,Mill Pond,"[""Mill Pond""]",2,302202.7,310055.6
mc01315,Mill Pond,"[""Mill Pond""]",1,302325.8,107146.0
mc01316,Mill Stream,"[""Mill Stream""]",1,302477.4,137901.5
mc01317,Mill Race,"[""Mill Race""]",1,302522.6,193013.3
mc01318,Mill race,"[""Mill race""]",1,302529.8,335300.0
mc01319,Mill Race,"[""Mill Race""]",2,302793.4,250963.5
mc01320,Mill Race,"[""Mill Race""]",1,302814.9,168941.0
mc01321,Mill Race,"[""Mill Race""]",2,302935.3,346418.0
mc01322,Mill Race,"[""Mill Race""]",1,303125.4,181147.0
mc01323,Mill Race,"[""Mill Race""]",1,303185.2,228230.4
mc01324,Mill Race,"[""Mill Race""]",1,303422.9,336585.8
mc01325,Mill Race,"[""Mill Race""]",1,303644.4,232673.8
mc01326,Mill Race,"[""Mill Race""]",1,303692.4,373900.5
mc01327,Mill Pond,"[""Mill Pond""]",2,303760.6,502656.8
mc01328,Mill Race,"[""Mill Race""]",1,303844.8,255023.1
mc01329,Mill Race,"[""Mill Race""]",1,303903.6,265848.0
mc01330,Mill Race,"[""Mill Race""]",1,303928.2,343161.6
mc01331,Mill race,"[""Mill race""]",1,303931.7,349015.1
mc01332,Mill Race,"[""Mill Race""]",1,303966.1,372594.2
mc01333,Mill Race,"[""Mill Race""]",1,304004.4,301363.5
mc01334,Mill Race,"[""Mill Race""]",1,304129.6,364968.2
mc01335,Mill Pond,"[""Mill Pond""]",1,304167.2,301509.6
mc01336,Mill Pond,"[""Mill Pond""]",1,304261.4,177727.7
mc01337,Mill Race,"[""Mill Race""]",1,304308.0,224546.7
mc01338,Mill Stream,"[""Mill Stream""]",1,304535.5,140599.6
mc01339,Mill Stream,"[""Mill Stream""]",1,304537.2,131213.2
mc01340,Mill Pond,"[""Mill Pond""]",2,304551.8,83464.2
mc01341,Mill Race,"[""Mill Race""]",1,304655.6,338187.2
mc01342,Mill Pond,"[""Mill Pond""]",1,304764.3,364997.7
mc01343,Mill Race,"[""Mill Race""]",2,304957.0,506410.4
mc01344,Mill Pond,"[""Mill Pond""]",2,305000.5,178916.8
mc01345,Mill Pond,"[""Mill Pond""]",1,305003.4,175886.7
mc01346,Mill Race,"[""Mill Race""]",1,305151.1,536917.8
mc01347,Mill Race,"[""Mill Race""]",1,305227.6,111752.1
mc01348,Mill Race,"[""Mill Race""]",2,305254.9,361771.9
mc01349,Mill Race,"[""Mill Race""]",1,305262.0,185893.5
mc01350,Mill Race,"[""Mill Race""]",1,305276.7,307282.0
mc01351,Mill Stream,"[""Mill Stream""]",1,305297.3,128716.4
mc01352,Mill Race,"[""Mill Race""]",1,305398.9,357621.9
mc01353,Mill Race,"[""Mill Race""]",1,305404.0,301869.8
mc01354,Mill Race,"[""Mill Race""]",1,305433.9,258619.1
mc01355,Mill Pond,"[""Mill Pond""]",2,305470.9,504927.7
