place_id,text,captions,labels,easting,northing
as00238,New Cut,"[""New Cut""]",1,543642.7,268358.6
as00239,New Cut Bridge; New Cut Drain; New Drain,"[""New Cut Bridge"", ""New Cut Drain"", ""New Drain""]",3,543660.8,276172.5
as00240,River Nene (Old Course),"[""River Nene (Old Course)""]",1,543983.9,298421.2
as00241,New Cut; New Cut Bridge,"[""New Cut"", ""New Cut Bridge""]",2,544142.8,273446.5
as00242,New Cut,"[""New Cut""]",1,545391.8,268874.6
as00243,New Cut Drain,"[""New Cut Drain""]",1,545467.7,278764.7
as00244,River Nene (Old Course),"[""River Nene (Old Course)""]",1,545919.6,299497.7
as00245,new cut,"[""new cut""]",1,546173.0,273804.1
as00246,River Nene (Old Course),"[""River Nene (Old Course)""]",1,547744.8,301125.8
as00247,new cut,"[""new cut""]",1,549277.7,273403.5
as00248,New Cut,"[""New Cut""]",1,552704.6,257877.0
as00249,New Cut,"[""New Cut""]",1,553916.3,362544.1
as00250,NEW CUT,"[""NEW CUT""]",1,554021.8,272914.8
as00251,New Cut,"[""New Cut""]",1,554162.8,258089.0
as00252,NEW CUT,"[""NEW CUT""]",1,555434.6,263441.7
as00253,Old River Farm,"[""Old River Farm""]",1,558071.3,319100.3
as00254,New River,"[""New River""]",1,558607.2,269887.1
as00255,New Drain,"[""New Drain""]",1,558660.3,308535.3
as00256,New Cut,"[""New Cut""]",1,581091.1,115946.2
as00257,NEW CUT,"[""NEW CUT""]",1,602649.1,344793.0
as00258,New Cut,"[""New Cut""]",2,605292.9,344887.2
as00259,New Cut,"[""New Cut""]",1,607192.2,344273.4
as00260,Old River,"[""Old River""]",1,609789.6,254343.4
as00261,New Cut,"[""New Cut""]",1,616668.3,243795.0
as00262,NEW CHANNEL,"[""NEW CHANNEL""]",1,617080.0,241398.6
as00263,old channel (track of),"[""old channel (track of)""]",1,624265.3,166610.3
as00264,NEW CUT,"[""NEW CUT""]",1,625762.0,308209.9
as00265,Old River,"[""Old River""]",1,632707.6,290731.2
as00266,The New Cut; new cut bridge,"[""The New Cut"", ""new cut bridge""]",2,634670.7,157979.8
as00267,New Cut,"[""New Cut""]",1,642766.8,325395.2
as00268,NEW CUT,"[""NEW CUT""]",1,644167.4,300171.7
as00269,New Cut,"[""New Cut""]",1,644714.8,323095.6
as00270,The New Cut,"[""The New Cut""]",1,645408.1,266363.4
as00271,NEW CUT,"[""NEW CUT""]",1,646268.9,275174.7
as00272,New Cut,"[""New Cut""]",1,648385.9,287266.5
as00273,New Cut,"[""New Cut""]",1,653444.1,283196.5
